datetime,south%,west%,north%,southcampus%
2025-02-13 02:34:15,31,12,5,0
2025-02-13 02:39:17,31,12,5,0
2025-02-13 02:50:22,31,12,5,0
2025-02-13 02:55:25,31,12,5,0
2025-02-13 03:06:30,31,12,5,0
2025-02-13 03:11:33,31,12,5,0
2025-02-13 03:16:36,31,12,5,0
2025-02-13 03:21:38,31,12,5,0
2025-02-13 03:26:42,31,12,5,0
2025-02-13 03:31:44,31,12,5,0
2025-02-13 03:36:47,31,12,5,0
2025-02-13 03:41:50,31,12,5,0
2025-02-13 03:46:52,31,12,5,0
2025-02-13 03:51:55,31,12,5,0
2025-02-13 03:56:58,31,12,5,0
2025-02-13 04:02:01,31,12,5,0
2025-02-13 04:07:04,31,12,5,0
2025-02-13 04:12:06,31,12,5,0
2025-02-13 04:17:09,31,12,5,0
2025-02-13 04:22:12,31,12,5,0
2025-02-13 04:27:15,31,12,5,0
2025-02-13 04:32:18,31,12,5,0
2025-02-13 04:37:21,31,12,5,0
2025-02-13 04:42:23,31,12,5,0
2025-02-13 04:53:29,31,12,5,0
2025-02-13 05:04:34,31,12,5,0
2025-02-13 05:09:37,31,12,5,0
2025-02-13 05:20:42,31,12,5,0
2025-02-13 05:25:45,31,12,5,0
2025-02-13 05:30:47,31,12,5,0
2025-02-13 05:35:50,32,12,5,0
2025-02-13 05:40:53,32,12,5,0
2025-02-13 05:45:56,32,12,5,0
2025-02-13 05:50:59,32,12,5,0
2025-02-13 05:56:01,32,12,5,0
2025-02-13 06:01:04,32,13,5,0
2025-02-13 06:06:07,32,13,5,0
2025-02-13 06:11:10,32,13,5,0
2025-02-13 06:16:13,33,13,5,0
2025-02-13 06:21:16,33,13,5,0
2025-02-13 06:32:21,34,13,5,0
2025-02-13 06:37:25,35,14,6,0
2025-02-13 06:42:27,35,14,6,0
2025-02-13 06:47:30,35,14,6,0
2025-02-13 06:52:33,36,15,7,0
2025-02-13 06:57:36,37,15,8,0
2025-02-13 07:02:39,38,16,8,0
2025-02-13 07:07:42,38,17,8,1
2025-02-13 07:12:44,40,18,10,1
2025-02-13 07:17:47,42,21,12,1
2025-02-13 07:22:50,44,23,13,1
2025-02-13 07:27:53,45,25,14,1
2025-02-13 07:32:56,46,27,16,1
2025-02-13 07:43:02,49,31,20,1
2025-02-13 07:48:05,51,32,22,1
2025-02-13 07:53:08,54,34,26,1
2025-02-13 07:58:11,56,35,28,1
2025-02-13 08:03:13,59,37,31,1
2025-02-13 08:08:16,60,39,32,1
2025-02-13 08:13:19,63,45,38,1
2025-02-13 08:18:22,65,47,40,1
2025-02-13 08:23:25,66,49,43,2
2025-02-13 08:34:30,73,59,52,3
2025-02-13 08:39:33,75,62,56,3
2025-02-13 08:44:36,78,66,59,3
2025-02-13 08:54:43,85,72,68,3
2025-02-13 09:05:48,90,79,76,4
2025-02-13 09:10:50,91,81,77,4
2025-02-13 09:15:53,92,81,79,4
2025-02-13 09:20:56,93,83,81,4
2025-02-13 09:25:59,94,84,83,4
2025-02-13 09:31:02,94,85,84,5
2025-02-13 09:36:04,94,86,85,5
2025-02-13 09:41:07,94,87,87,5
2025-02-13 09:46:09,95,88,88,6
2025-02-13 09:51:12,96,89,89,7
2025-02-13 10:02:18,100,92,92,9
2025-02-13 10:07:20,100,93,93,10
2025-02-13 10:12:24,100,94,93,11
2025-02-13 10:17:26,100,95,95,12
2025-02-13 10:22:29,100,96,95,13
2025-02-13 10:27:32,100,95,96,13
2025-02-13 10:32:35,100,94,96,13
2025-02-13 10:37:38,100,94,97,14
2025-02-13 10:42:41,100,94,97,14
2025-02-13 10:47:44,100,93,97,14
2025-02-13 10:52:47,100,94,97,14
2025-02-13 10:57:50,100,95,100,15
2025-02-13 11:02:53,100,95,100,15
2025-02-13 11:07:56,100,96,100,15
2025-02-13 11:12:58,100,95,100,15
2025-02-13 11:18:01,100,96,100,16
2025-02-13 11:23:04,100,97,100,17
2025-02-13 11:28:07,100,97,100,18
2025-02-13 11:33:09,100,97,100,19
2025-02-13 11:38:12,100,97,100,19
2025-02-13 11:43:15,100,100,100,20
2025-02-13 11:48:18,100,100,100,20
2025-02-13 11:53:21,100,100,100,21
2025-02-13 11:58:25,100,97,100,21
2025-02-13 12:03:27,100,95,100,21
2025-02-13 12:08:30,100,95,97,21
2025-02-13 12:13:34,100,95,96,21
2025-02-13 12:18:37,100,94,96,21
2025-02-13 12:23:40,100,95,96,21
2025-02-13 12:34:45,100,95,97,21
2025-02-13 12:39:48,100,95,97,21
2025-02-13 12:44:51,100,94,97,22
2025-02-13 12:49:53,100,95,97,22
2025-02-13 12:54:56,100,95,100,22
2025-02-13 12:59:59,100,95,100,22
2025-02-13 13:05:12,100,96,100,23
2025-02-13 13:10:15,100,97,100,23
2025-02-13 13:15:18,100,97,100,23
2025-02-13 13:20:21,100,97,100,23
2025-02-13 13:25:24,100,96,100,23
2025-02-13 13:30:26,100,93,96,23
2025-02-13 13:35:29,100,92,94,23
2025-02-13 13:40:37,97,91,93,23
2025-02-13 13:45:42,95,92,93,23
2025-02-13 13:56:53,95,91,93,22
2025-02-13 14:01:59,94,90,93,22
2025-02-13 14:07:06,94,90,93,22
2025-02-13 14:12:12,95,90,93,22
2025-02-13 14:17:17,95,89,93,22
2025-02-13 14:22:23,95,88,94,22
2025-02-13 14:27:29,94,89,94,22
2025-02-13 14:32:35,94,89,95,22
2025-02-13 14:37:40,93,88,97,22
2025-02-13 14:42:46,93,88,97,22
2025-02-13 14:47:51,93,88,97,22
2025-02-13 14:52:57,93,87,100,22
2025-02-13 14:58:02,91,83,95,22
2025-02-13 15:09:12,87,78,93,22
2025-02-13 15:14:18,86,78,92,22
2025-02-13 15:19:24,85,78,89,21
2025-02-13 15:24:29,85,77,88,21
2025-02-13 15:29:34,85,76,88,21
2025-02-13 15:34:40,85,75,87,21
2025-02-13 15:39:45,85,74,87,21
2025-02-13 15:44:51,85,74,87,21
2025-02-13 15:49:57,85,74,86,21
2025-02-13 15:55:02,85,74,86,21
2025-02-13 16:00:07,85,73,85,21
2025-02-13 16:05:13,85,73,84,20
2025-02-13 16:10:18,84,73,84,20
2025-02-13 16:15:24,85,73,84,20
2025-02-13 16:20:29,85,72,84,20
2025-02-13 16:25:35,83,68,81,20
2025-02-13 16:30:40,82,66,78,20
2025-02-13 16:35:45,81,64,77,20
2025-02-13 16:40:50,80,64,74,20
2025-02-13 16:45:56,76,63,72,20
2025-02-13 16:51:02,76,63,71,20
2025-02-13 16:56:07,75,63,70,20
2025-02-13 17:01:12,74,62,68,20
2025-02-13 17:06:18,72,61,67,20
2025-02-13 17:11:24,71,61,66,20
2025-02-13 17:16:29,70,61,64,19
2025-02-13 17:21:34,68,59,62,19
2025-02-13 17:26:40,66,58,62,19
2025-02-13 17:31:46,66,58,61,19
2025-02-13 17:36:51,65,56,60,19
2025-02-13 17:41:56,63,54,59,19
2025-02-13 17:47:01,63,54,59,19
2025-02-13 17:52:07,62,53,58,19
2025-02-13 17:57:13,61,49,55,19
2025-02-13 18:02:18,60,46,54,19
2025-02-13 18:13:29,57,43,50,20
2025-02-13 18:24:40,57,42,48,20
2025-02-13 18:29:45,57,41,46,21
2025-02-13 18:34:50,56,41,46,21
2025-02-13 18:39:55,56,42,45,21
2025-02-13 18:45:01,55,41,44,21
2025-02-13 18:50:06,56,41,43,21
2025-02-13 18:55:11,55,41,43,22
2025-02-13 19:00:16,54,41,42,22
2025-02-13 19:05:22,53,40,42,22
2025-02-13 19:10:27,53,40,41,22
2025-02-13 19:15:32,52,39,40,22
2025-02-13 19:20:37,52,39,40,22
2025-02-13 19:25:43,51,38,37,22
2025-02-13 19:30:48,51,37,35,22
2025-02-13 19:35:53,50,36,35,22
2025-02-13 19:40:59,49,36,34,22
2025-02-13 19:46:04,49,35,32,22
2025-02-13 19:51:09,49,35,32,22
2025-02-13 19:56:14,49,35,31,22
2025-02-13 20:01:20,48,34,30,23
2025-02-13 20:06:26,47,33,30,23
2025-02-13 20:11:31,47,33,29,23
2025-02-13 20:16:36,47,33,28,23
2025-02-13 20:21:41,46,32,27,24
2025-02-13 20:32:52,46,31,26,24
2025-02-13 20:37:58,44,30,24,24
2025-02-13 20:43:03,44,30,23,24
2025-02-13 20:48:09,44,29,22,24
2025-02-13 20:53:14,43,29,20,24
2025-02-13 20:58:21,43,28,19,24
2025-02-13 21:03:26,42,27,18,24
2025-02-13 21:08:31,42,27,17,24
2025-02-13 21:13:37,40,25,16,24
2025-02-13 21:18:42,40,25,15,24
2025-02-13 21:23:48,40,24,15,24
2025-02-13 21:28:53,40,24,14,24
2025-02-13 21:33:59,39,23,13,24
2025-02-13 21:39:04,38,23,13,24
2025-02-13 21:44:10,37,23,13,24
2025-02-13 21:49:12,36,22,13,24
2025-02-13 21:54:16,35,22,13,24
2025-02-13 21:59:19,34,22,13,24
2025-02-13 22:04:22,34,21,12,24
2025-02-13 22:09:24,34,21,12,24
2025-02-13 22:14:27,34,22,12,24
2025-02-13 22:19:30,33,21,12,24
2025-02-13 22:24:36,33,21,12,24
2025-02-13 22:29:39,33,21,12,24
2025-02-13 22:34:42,34,20,12,24
2025-02-13 22:39:45,34,21,12,24
2025-02-13 22:44:48,34,20,12,24
2025-02-13 22:49:51,34,20,12,24
2025-02-13 22:54:53,34,20,12,24
2025-02-13 22:59:56,34,20,12,24
