datetime,south%,west%,north%,southcampus%
2025-02-14T00:00:00.000000,32,18,11,24
2025-02-14T00:05:00.000000,32,18,11,24
2025-02-14T00:10:00.000000,32,18,11,24
2025-02-14T00:15:00.000000,32,19,11,24
2025-02-14T00:20:00.000000,31,19,11,24
2025-02-14T00:25:00.000000,31,19,11,24
2025-02-14T00:30:00.000000,31,18,11,24
2025-02-14T00:35:00.000000,31,18,11,24
2025-02-14T00:40:00.000000,31,18,11,24
2025-02-14T00:45:00.000000,31,18,11,24
2025-02-14T00:55:00.000000,31,18,11,24
2025-02-14T01:00:00.000000,0,0,5,0
2025-02-14T01:05:00.000000,31,12,5,0
2025-02-14T01:10:00.000000,31,12,5,0
2025-02-14T01:15:00.000000,31,12,5,0
2025-02-14T01:20:00.000000,31,12,5,0
2025-02-14T01:25:00.000000,31,12,5,0
2025-02-14T01:30:00.000000,31,12,5,0
2025-02-14T01:35:00.000000,31,12,5,0
2025-02-14T01:40:00.000000,31,12,5,0
2025-02-14T01:45:00.000000,31,12,5,0
2025-02-14T01:50:00.000000,31,12,5,0
2025-02-14T01:55:00.000000,31,12,5,0
2025-02-14T02:00:00.000000,31,12,5,0
2025-02-14T02:05:00.000000,31,12,5,0
2025-02-14T02:10:00.000000,31,12,5,0
2025-02-14T02:15:00.000000,31,12,5,0
2025-02-14T02:20:00.000000,31,12,5,0
2025-02-14T02:25:00.000000,31,12,5,0
2025-02-14T02:30:00.000000,31,12,5,0
2025-02-14T02:35:00.000000,31,12,5,0
2025-02-14T02:40:00.000000,31,12,5,0
2025-02-14T02:45:00.000000,31,12,5,0
2025-02-14T02:50:00.000000,31,12,5,0
2025-02-14T02:55:00.000000,31,12,5,0
2025-02-14T03:10:00.000000,31,12,5,0
2025-02-14T03:15:00.000000,31,12,5,0
2025-02-14T03:20:00.000000,31,12,5,0
2025-02-14T03:25:00.000000,31,12,4,0
2025-02-14T03:30:00.000000,31,12,4,0
2025-02-14T03:35:00.000000,31,12,4,0
2025-02-14T03:40:00.000000,31,12,4,0
2025-02-14T03:45:00.000000,31,12,4,0
2025-02-14T03:50:00.000000,31,12,4,0
2025-02-14T03:55:00.000000,31,12,4,0
2025-02-14T04:00:00.000000,31,12,4,0
2025-02-14T04:05:00.000000,31,12,4,0
2025-02-14T04:10:00.000000,31,12,4,0
2025-02-14T04:15:00.000000,31,12,4,0
2025-02-14T04:20:00.000000,31,12,4,0
2025-02-14T04:25:00.000000,31,12,4,0
2025-02-14T04:30:00.000000,31,12,4,0
2025-02-14T04:35:00.000000,31,12,4,0
2025-02-14T04:40:00.000000,31,12,4,0
2025-02-14T04:45:00.000000,31,12,4,0
2025-02-14T04:50:00.000000,31,12,4,0
2025-02-14T04:55:00.000000,31,12,4,0
2025-02-14T05:05:00.000000,31,12,4,0
2025-02-14T05:10:00.000000,31,12,4,0
2025-02-14T05:15:00.000000,31,12,4,0
2025-02-14T05:20:00.000000,31,12,4,0
2025-02-14T05:25:00.000000,31,12,4,0
2025-02-14T05:30:00.000000,32,12,4,0
2025-02-14T05:35:00.000000,32,12,5,0
2025-02-14T05:40:00.000000,32,12,5,0
2025-02-14T05:45:00.000000,33,12,5,0
2025-02-14T05:50:00.000000,33,12,5,0
2025-02-14T05:55:00.000000,33,13,5,0
2025-02-14T06:15:00.000000,33,13,5,0
2025-02-14T06:20:00.000000,34,13,5,0
2025-02-14T06:25:00.000000,34,13,5,0
2025-02-14T06:30:00.000000,34,13,5,0
2025-02-14T06:35:00.000000,34,13,5,0
2025-02-14T06:40:00.000000,34,13,5,0
2025-02-14T06:45:00.000000,35,13,5,0
2025-02-14T06:50:00.000000,35,13,5,0
2025-02-14T06:55:00.000000,35,13,5,0
2025-02-14T07:00:00.000000,35,13,6,0
2025-02-14T07:05:00.000000,35,14,6,0
2025-02-14T07:10:00.000000,36,14,6,0
2025-02-14T07:15:00.000000,36,14,6,0
2025-02-14T07:20:00.000000,36,15,7,0
2025-02-14T07:25:00.000000,37,16,7,0
2025-02-14T07:30:00.000000,38,17,7,0
2025-02-14T07:35:00.000000,38,17,8,0
2025-02-14T07:40:00.000000,39,18,8,0
2025-02-14T07:45:00.000000,41,19,9,0
2025-02-14T07:50:00.000000,41,19,10,0
2025-02-14T07:55:00.000000,42,20,11,0
2025-02-14T08:00:00.000000,43,20,11,0
2025-02-14T08:05:00.000000,45,22,14,0
2025-02-14T08:10:00.000000,45,23,14,0
2025-02-14T08:15:00.000000,46,23,15,0
2025-02-14T08:20:00.000000,48,25,17,0
2025-02-14T08:25:00.000000,49,25,17,0
2025-02-14T08:30:00.000000,49,26,18,0
2025-02-14T08:35:00.000000,50,27,19,0
2025-02-14T08:40:00.000000,52,29,20,0
2025-02-14T08:45:00.000000,52,29,21,0
2025-02-14T08:50:00.000000,53,30,22,0
2025-02-14T08:55:00.000000,54,31,23,0
2025-02-14T09:00:00.000000,56,33,25,0
2025-02-14T09:05:00.000000,57,35,25,0
2025-02-14T09:10:00.000000,57,36,26,0
2025-02-14T09:15:00.000000,58,37,27,0
2025-02-14T09:20:00.000000,58,40,28,1
2025-02-14T09:25:00.000000,59,40,28,1
2025-02-14T09:30:00.000000,60,41,29,1
2025-02-14T09:35:00.000000,60,42,29,1
