datetime,south%,west%,north%,southcampus%
2025-02-17T00:00:00.000000,35,14,5,10
2025-02-17T00:05:00.000000,35,14,5,10
2025-02-17T00:10:00.000000,35,14,5,10
2025-02-17T00:15:00.000000,35,14,5,10
2025-02-17T00:20:00.000000,35,14,5,10
2025-02-17T00:25:00.000000,35,14,5,10
2025-02-17T00:30:00.000000,35,14,5,10
2025-02-17T00:35:00.000000,35,14,5,10
2025-02-17T00:40:00.000000,35,14,5,10
2025-02-17T00:45:00.000000,35,14,5,10
2025-02-17T00:50:00.000000,35,14,5,10
2025-02-17T00:55:00.000000,35,14,5,10
2025-02-17T01:00:00.000000,0,0,5,0
2025-02-17T01:05:00.000000,31,12,5,0
2025-02-17T01:10:00.000000,31,12,5,0
2025-02-17T01:15:00.000000,31,12,5,0
2025-02-17T01:20:00.000000,31,12,5,0
2025-02-17T01:25:00.000000,31,12,5,0
2025-02-17T01:30:00.000000,31,12,5,0
2025-02-17T01:35:00.000000,31,12,5,0
2025-02-17T01:40:00.000000,31,12,5,0
2025-02-17T01:45:00.000000,31,12,5,0
2025-02-17T01:50:00.000000,31,12,5,0
2025-02-17T01:55:00.000000,31,12,5,0
2025-02-17T02:00:00.000000,31,12,5,0
2025-02-17T02:10:00.000000,31,12,5,0
2025-02-17T02:15:00.000000,31,12,5,0
2025-02-17T02:20:00.000000,31,12,5,0
2025-02-17T02:25:00.000000,31,12,5,0
2025-02-17T02:30:00.000000,31,12,5,0
2025-02-17T02:35:00.000000,31,12,5,0
2025-02-17T02:40:00.000000,31,12,5,0
2025-02-17T02:45:00.000000,31,12,5,0
2025-02-17T02:50:00.000000,31,12,5,0
2025-02-17T02:55:00.000000,31,12,5,0
2025-02-17T03:00:00.000000,31,12,5,0
2025-02-17T03:05:00.000000,31,12,5,0
2025-02-17T03:10:00.000000,31,12,5,0
2025-02-17T03:15:00.000000,31,12,5,0
2025-02-17T03:20:00.000000,31,12,5,0
2025-02-17T03:25:00.000000,31,12,5,0
2025-02-17T03:30:00.000000,31,12,5,0
2025-02-17T03:35:00.000000,31,12,5,0
2025-02-17T03:40:00.000000,31,12,5,0
