datetime,south%,west%,north%,southcampus%
2025-02-15T00:00:00.000000,29,17,5,8
2025-02-15T00:05:00.000000,29,16,5,8
2025-02-15T00:10:00.000000,29,17,5,8
2025-02-15T00:15:00.000000,29,16,5,8
2025-02-15T00:20:00.000000,29,16,5,8
2025-02-15T00:25:00.000000,29,16,5,8
2025-02-15T00:30:00.000000,29,16,5,8
2025-02-15T00:35:00.000000,29,16,5,8
2025-02-15T00:40:00.000000,29,16,5,8
2025-02-15T00:45:00.000000,29,16,5,8
2025-02-15T00:50:00.000000,29,16,5,8
2025-02-15T00:55:00.000000,29,16,5,8
2025-02-15T01:00:00.000000,0,0,5,0
2025-02-15T01:05:00.000000,31,12,5,0
2025-02-15T01:10:00.000000,31,12,5,0
2025-02-15T01:15:00.000000,31,12,5,0
2025-02-15T01:20:00.000000,31,12,5,0
2025-02-15T01:25:00.000000,31,12,5,0
2025-02-15T01:30:00.000000,31,12,5,0
2025-02-15T01:35:00.000000,31,12,5,0
2025-02-15T01:40:00.000000,31,12,5,0
2025-02-15T01:45:00.000000,31,12,5,0
2025-02-15T01:50:00.000000,31,12,5,0
2025-02-15T01:55:00.000000,31,12,5,0
2025-02-15T02:00:00.000000,31,12,5,0
2025-02-15T02:05:00.000000,31,12,4,0
2025-02-15T02:10:00.000000,31,12,4,0
2025-02-15T02:15:00.000000,31,12,4,0
2025-02-15T02:20:00.000000,31,12,4,0
2025-02-15T02:25:00.000000,31,12,4,0
2025-02-15T02:30:00.000000,31,12,4,0
2025-02-15T02:35:00.000000,31,12,4,0
2025-02-15T02:40:00.000000,31,12,4,0
2025-02-15T02:45:00.000000,31,12,5,0
2025-02-15T02:50:00.000000,31,12,5,0
2025-02-15T02:55:00.000000,31,12,5,0
2025-02-15T03:00:00.000000,31,12,5,0
2025-02-15T03:05:00.000000,31,12,5,0
2025-02-15T03:10:00.000000,31,12,5,0
2025-02-15T03:15:00.000000,31,12,5,0
2025-02-15T03:20:00.000000,31,12,5,0
2025-02-15T03:25:00.000000,31,12,5,0
2025-02-15T03:30:00.000000,31,12,5,0
2025-02-15T03:35:00.000000,31,12,5,0
2025-02-15T03:40:00.000000,31,12,5,0
