datetime,south%,west%,north%,southcampus%
2025-02-16T00:00:00.000000,30,16,5,21
2025-02-16T00:05:00.000000,30,16,5,21
2025-02-16T00:10:00.000000,30,16,4,21
2025-02-16T00:15:00.000000,30,16,4,21
2025-02-16T00:20:00.000000,30,15,4,21
2025-02-16T00:25:00.000000,30,15,4,21
2025-02-16T00:30:00.000000,30,15,4,21
2025-02-16T00:35:00.000000,30,15,4,21
2025-02-16T00:45:00.000000,30,15,4,21
2025-02-16T00:50:00.000000,30,15,4,21
2025-02-16T00:55:00.000000,29,15,4,21
2025-02-16T01:00:00.000000,0,0,5,0
2025-02-16T01:05:00.000000,31,12,5,0
2025-02-16T01:10:00.000000,31,12,5,0
2025-02-16T01:15:00.000000,31,12,5,0
2025-02-16T01:20:00.000000,31,12,5,0
2025-02-16T01:25:00.000000,31,12,5,0
2025-02-16T01:30:00.000000,31,12,5,0
2025-02-16T01:35:00.000000,31,12,5,0
2025-02-16T01:40:00.000000,31,12,5,0
2025-02-16T01:45:00.000000,31,12,5,0
2025-02-16T01:50:00.000000,31,12,5,0
2025-02-16T01:55:00.000000,31,12,5,0
2025-02-16T02:00:00.000000,31,12,5,0
2025-02-16T02:10:00.000000,31,11,5,0
2025-02-16T02:15:00.000000,31,11,5,0
2025-02-16T02:20:00.000000,30,11,5,0
2025-02-16T02:25:00.000000,31,11,5,0
2025-02-16T02:30:00.000000,31,11,5,0
2025-02-16T02:35:00.000000,31,11,5,0
2025-02-16T02:40:00.000000,31,11,5,0
2025-02-16T02:45:00.000000,30,11,5,0
2025-02-16T02:50:00.000000,30,11,5,0
2025-02-16T02:55:00.000000,30,11,5,0
2025-02-16T03:00:00.000000,30,11,5,0
2025-02-16T03:05:00.000000,30,11,5,0
2025-02-16T03:10:00.000000,30,11,5,0
2025-02-16T03:15:00.000000,30,11,5,0
2025-02-16T03:20:00.000000,30,11,5,0
2025-02-16T03:25:00.000000,30,11,5,0
2025-02-16T03:30:00.000000,30,11,5,0
2025-02-16T03:35:00.000000,30,11,5,0
2025-02-16T03:40:00.000000,30,11,5,0
2025-02-16T03:45:00.000000,30,11,5,0
2025-02-16T03:50:00.000000,30,11,5,0
2025-02-16T03:55:00.000000,30,11,5,0
2025-02-16T04:00:00.000000,30,11,5,0
2025-02-16T04:05:00.000000,30,11,5,0
2025-02-16T04:10:00.000000,30,11,5,0
2025-02-16T04:15:00.000000,30,11,5,0
2025-02-16T04:20:00.000000,30,11,5,0
2025-02-16T04:25:00.000000,30,11,5,0
2025-02-16T04:35:00.000000,30,11,5,0
2025-02-16T04:40:00.000000,30,11,5,0
2025-02-16T04:45:00.000000,30,11,5,0
2025-02-16T04:50:00.000000,30,11,5,0
2025-02-16T04:55:00.000000,30,11,5,0
2025-02-16T05:00:00.000000,30,11,5,0
2025-02-16T05:05:00.000000,30,11,5,0
2025-02-16T05:10:00.000000,30,11,5,0
