datetime,south%,west%,north%,southcampus%
2025-02-13T02:30:00.000000,31,12,5,0
2025-02-13T02:35:00.000000,31,12,5,0
2025-02-13T02:50:00.000000,31,12,5,0
2025-02-13T02:55:00.000000,31,12,5,0
2025-02-13T03:05:00.000000,31,12,5,0
2025-02-13T03:10:00.000000,31,12,5,0
2025-02-13T03:15:00.000000,31,12,5,0
2025-02-13T03:20:00.000000,31,12,5,0
2025-02-13T03:25:00.000000,31,12,5,0
2025-02-13T03:30:00.000000,31,12,5,0
2025-02-13T03:35:00.000000,31,12,5,0
2025-02-13T03:40:00.000000,31,12,5,0
2025-02-13T03:45:00.000000,31,12,5,0
2025-02-13T03:50:00.000000,31,12,5,0
2025-02-13T03:55:00.000000,31,12,5,0
2025-02-13T04:00:00.000000,31,12,5,0
2025-02-13T04:05:00.000000,31,12,5,0
2025-02-13T04:10:00.000000,31,12,5,0
2025-02-13T04:15:00.000000,31,12,5,0
2025-02-13T04:20:00.000000,31,12,5,0
2025-02-13T04:25:00.000000,31,12,5,0
2025-02-13T04:30:00.000000,31,12,5,0
2025-02-13T04:35:00.000000,31,12,5,0
2025-02-13T04:40:00.000000,31,12,5,0
2025-02-13T04:50:00.000000,31,12,5,0
2025-02-13T05:00:00.000000,31,12,5,0
2025-02-13T05:05:00.000000,31,12,5,0
2025-02-13T05:20:00.000000,31,12,5,0
2025-02-13T05:25:00.000000,31,12,5,0
2025-02-13T05:30:00.000000,31,12,5,0
2025-02-13T05:35:00.000000,32,12,5,0
2025-02-13T05:40:00.000000,32,12,5,0
2025-02-13T05:45:00.000000,32,12,5,0
2025-02-13T05:50:00.000000,32,12,5,0
2025-02-13T05:55:00.000000,32,12,5,0
2025-02-13T06:00:00.000000,32,13,5,0
2025-02-13T06:05:00.000000,32,13,5,0
2025-02-13T06:10:00.000000,32,13,5,0
2025-02-13T06:15:00.000000,33,13,5,0
2025-02-13T06:20:00.000000,33,13,5,0
2025-02-13T06:30:00.000000,34,13,5,0
2025-02-13T06:35:00.000000,35,14,6,0
2025-02-13T06:40:00.000000,35,14,6,0
2025-02-13T06:45:00.000000,35,14,6,0
2025-02-13T06:50:00.000000,36,15,7,0
2025-02-13T06:55:00.000000,37,15,8,0
2025-02-13T07:00:00.000000,38,16,8,0
2025-02-13T07:05:00.000000,38,17,8,1
2025-02-13T07:10:00.000000,40,18,10,1
2025-02-13T07:15:00.000000,42,21,12,1
2025-02-13T07:20:00.000000,44,23,13,1
2025-02-13T07:25:00.000000,45,25,14,1
2025-02-13T07:30:00.000000,46,27,16,1
2025-02-13T07:40:00.000000,49,31,20,1
2025-02-13T07:45:00.000000,51,32,22,1
2025-02-13T07:50:00.000000,54,34,26,1
2025-02-13T07:55:00.000000,56,35,28,1
2025-02-13T08:00:00.000000,59,37,31,1
