datetime,south%,west%,north%,southcampus%
2025-02-18T00:00:00.000000,37,20,7,25
2025-02-18T00:05:00.000000,37,20,7,25
2025-02-18T00:10:00.000000,37,19,8,25
2025-02-18T00:15:00.000000,37,19,8,25
2025-02-18T00:20:00.000000,37,19,8,25
2025-02-18T00:25:00.000000,37,19,8,25
2025-02-18T00:30:00.000000,37,19,8,25
2025-02-18T00:35:00.000000,37,19,8,25
2025-02-18T00:40:00.000000,37,19,8,25
2025-02-18T00:45:00.000000,37,19,7,25
2025-02-18T00:50:00.000000,37,18,7,25
2025-02-18T00:55:00.000000,37,18,7,25
2025-02-18T01:00:00.000000,0,0,5,0
2025-02-18T01:05:00.000000,31,12,5,0
2025-02-18T01:10:00.000000,31,12,5,0
2025-02-18T01:15:00.000000,31,12,5,0
2025-02-18T01:20:00.000000,31,12,5,0
2025-02-18T01:25:00.000000,31,12,5,0
2025-02-18T01:35:00.000000,31,12,5,0
2025-02-18T01:40:00.000000,31,12,5,0
2025-02-18T01:45:00.000000,31,12,5,0
2025-02-18T01:50:00.000000,31,12,5,0
2025-02-18T01:55:00.000000,31,12,5,0
2025-02-18T02:00:00.000000,31,12,5,0
2025-02-18T02:05:00.000000,31,12,5,0
2025-02-18T02:10:00.000000,31,12,5,0
2025-02-18T02:15:00.000000,31,12,5,0
2025-02-18T02:20:00.000000,31,12,5,0
2025-02-18T02:25:00.000000,31,13,5,0
2025-02-18T02:30:00.000000,31,13,5,0
2025-02-18T02:35:00.000000,31,13,5,0
2025-02-18T02:40:00.000000,31,13,5,0
2025-02-18T02:45:00.000000,31,12,5,0
2025-02-18T02:50:00.000000,31,12,5,0
2025-02-18T02:55:00.000000,31,12,5,0
2025-02-18T03:00:00.000000,31,12,5,0
2025-02-18T03:05:00.000000,31,13,5,0
2025-02-18T03:10:00.000000,31,13,5,0
2025-02-18T03:15:00.000000,31,13,5,0
2025-02-18T03:20:00.000000,31,13,5,0
2025-02-18T03:25:00.000000,31,13,5,0
2025-02-18T03:30:00.000000,31,12,5,0
2025-02-18T03:40:00.000000,30,12,5,0
2025-02-18T03:45:00.000000,30,12,5,0
2025-02-18T03:50:00.000000,30,12,5,0
2025-02-18T04:00:00.000000,30,12,5,0
2025-02-18T04:05:00.000000,30,12,5,0
2025-02-18T04:10:00.000000,30,12,5,0
2025-02-18T04:15:00.000000,30,12,5,0
2025-02-18T04:20:00.000000,30,12,5,0
2025-02-18T04:25:00.000000,30,12,5,0
2025-02-18T04:30:00.000000,31,12,5,0
2025-02-18T04:35:00.000000,31,12,5,0
2025-02-18T04:40:00.000000,31,12,5,0
2025-02-18T04:45:00.000000,31,12,5,0
2025-02-18T04:50:00.000000,31,13,5,0
2025-02-18T04:55:00.000000,31,13,5,0
2025-02-18T05:00:00.000000,31,13,5,0
2025-02-18T05:05:00.000000,31,13,5,0
2025-02-18T05:10:00.000000,31,13,5,0
2025-02-18T05:15:00.000000,31,13,5,0
2025-02-18T05:20:00.000000,31,13,5,0
2025-02-18T05:25:00.000000,31,13,5,0
2025-02-18T05:30:00.000000,31,13,5,0
2025-02-18T05:35:00.000000,31,13,5,0
