datetime,south%,west%,north%,southcampus%
2025-02-19T00:00:00.000000,34,19,10,37
2025-02-19T00:05:00.000000,34,19,10,37
2025-02-19T00:10:00.000000,34,19,10,37
2025-02-19T00:15:00.000000,34,19,10,37
2025-02-19T00:20:00.000000,33,19,9,37
2025-02-19T00:25:00.000000,33,19,9,37
2025-02-19T00:30:00.000000,33,19,9,37
2025-02-19T00:35:00.000000,33,19,9,37
2025-02-19T00:40:00.000000,33,19,9,37
2025-02-19T00:50:00.000000,33,19,9,37
2025-02-19T00:55:00.000000,33,19,9,37
2025-02-19T01:00:00.000000,0,0,5,0
2025-02-19T01:05:00.000000,31,12,5,0
2025-02-19T01:10:00.000000,31,12,5,0
2025-02-19T01:15:00.000000,31,12,5,0
2025-02-19T01:20:00.000000,31,12,5,0
2025-02-19T01:25:00.000000,31,12,5,0
2025-02-19T01:30:00.000000,31,12,5,0
2025-02-19T01:35:00.000000,31,12,5,0
2025-02-19T01:40:00.000000,31,12,5,0
2025-02-19T01:45:00.000000,31,12,5,0
2025-02-19T01:50:00.000000,31,12,5,0
2025-02-19T01:55:00.000000,31,12,5,0
2025-02-19T02:00:00.000000,31,12,5,0
2025-02-19T02:05:00.000000,31,12,5,0
2025-02-19T02:15:00.000000,31,12,5,0
2025-02-19T02:20:00.000000,31,12,5,0
2025-02-19T02:30:00.000000,31,12,5,0
2025-02-19T02:35:00.000000,31,12,5,0
2025-02-19T02:40:00.000000,31,12,5,0
2025-02-19T02:50:00.000000,31,12,5,0
2025-02-19T02:55:00.000000,31,12,5,0
2025-02-19T03:00:00.000000,31,12,5,0
2025-02-19T03:05:00.000000,31,12,4,0
2025-02-19T03:10:00.000000,31,12,4,0
2025-02-19T03:15:00.000000,31,12,4,0
2025-02-19T03:20:00.000000,31,12,4,0
2025-02-19T03:25:00.000000,31,12,5,0
2025-02-19T03:30:00.000000,31,12,5,0
2025-02-19T03:35:00.000000,31,12,5,0
2025-02-19T03:40:00.000000,31,12,5,0
2025-02-19T03:45:00.000000,31,12,5,0
2025-02-19T03:50:00.000000,31,12,5,0
2025-02-19T03:55:00.000000,31,12,5,0
2025-02-19T04:00:00.000000,31,12,5,0
2025-02-19T04:05:00.000000,31,12,5,0
2025-02-19T04:10:00.000000,31,12,5,0
2025-02-19T04:15:00.000000,31,12,5,0
2025-02-19T04:20:00.000000,31,12,5,0
2025-02-19T04:25:00.000000,31,12,5,0
2025-02-19T04:30:00.000000,31,12,5,0
2025-02-19T04:35:00.000000,31,12,5,0
2025-02-19T04:40:00.000000,31,12,5,0
2025-02-19T04:45:00.000000,31,12,5,0
2025-02-19T04:50:00.000000,31,12,5,0
2025-02-19T04:55:00.000000,31,12,5,0
2025-02-19T05:00:00.000000,31,12,5,0
2025-02-19T05:05:00.000000,31,12,5,0
2025-02-19T05:10:00.000000,31,12,5,0
2025-02-19T05:15:00.000000,31,12,5,0
2025-02-19T05:20:00.000000,31,12,5,0
2025-02-19T05:25:00.000000,31,12,5,0
2025-02-19T05:30:00.000000,32,12,5,0
2025-02-19T05:35:00.000000,32,12,5,0
2025-02-19T05:40:00.000000,32,12,5,0
2025-02-19T05:45:00.000000,32,12,5,0
2025-02-19T05:50:00.000000,32,12,5,0
2025-02-19T06:00:00.000000,32,13,5,0
2025-02-19T06:05:00.000000,33,13,5,0
2025-02-19T06:10:00.000000,33,13,5,0
2025-02-19T06:15:00.000000,33,13,5,0
2025-02-19T06:20:00.000000,33,13,5,0
2025-02-19T06:25:00.000000,34,13,5,0
2025-02-19T06:30:00.000000,34,14,6,0
2025-02-19T06:35:00.000000,35,14,6,0
2025-02-19T06:40:00.000000,35,14,6,0
2025-02-19T06:45:00.000000,36,14,7,0
2025-02-19T06:50:00.000000,37,15,7,0
2025-02-19T06:55:00.000000,37,15,8,0
2025-02-19T07:00:00.000000,38,16,9,0
2025-02-19T07:05:00.000000,39,17,10,0
2025-02-19T07:10:00.000000,41,19,12,0
2025-02-19T07:15:00.000000,42,21,14,0
